date,amount,category,description,type
2024-04-01,-463.83,Groceries,Weekly shopping,Expense
2024-04-02,-368.14,Dining,Lunch out,Expense
2024-04-02,-292.08,Groceries,Supermarket,Expense
2024-04-03,-412.08,Dining,Coffee shop,Expense
2024-04-03,-373.26,Groceries,Fresh vegetables,Expense
2024-04-03,-321.08,Dining,Lunch out,Expense
2024-04-04,-216.32,Transport,Bus pass,Expense
2024-04-05,-220.51,Transport,Metro ticket,Expense
2024-04-05,-297.7,Groceries,Supermarket,Expense
2024-04-06,-411.56,Entertainment,Streaming,Expense
2024-04-06,-758.23,Shopping,Books,Expense
2024-04-08,-15000.0,Rent,Monthly rent payment,Expense
2024-04-08,-198.54,Transport,Auto rickshaw,Expense
2024-04-08,-385.23,Groceries,Fresh vegetables,Expense
2024-04-11,-202.49,Transport,Fuel,Expense
2024-04-12,-121.37,Transport,Fuel,Expense
2024-04-12,-1191.93,Shopping,Electronics,Expense
2024-04-13,-254.2,Dining,Coffee shop,Expense
2024-04-13,-236.49,Transport,Bus pass,Expense
2024-04-13,-645.17,Healthcare,Medicines,Expense
2024-04-15,-417.67,Dining,Coffee shop,Expense
2024-04-18,-382.86,Entertainment,Concert,Expense
2024-04-18,-363.55,Dining,Restaurant dinner,Expense
2024-04-18,-273.47,Utilities,Electricity bill,Expense
2024-04-19,-368.05,Dining,Lunch out,Expense
2024-04-19,-198.63,Transport,Fuel,Expense
2024-04-19,-473.41,Groceries,Organic store,Expense
2024-04-20,-189.03,Transport,Fuel,Expense
2024-04-20,-326.15,Entertainment,Concert,Expense
2024-04-21,-400.33,Groceries,Supermarket,Expense
2024-04-22,-1065.64,Shopping,Books,Expense
2024-04-22,4280.16,Freelance,Consulting work,Income
2024-04-22,-473.42,Groceries,Supermarket,Expense
2024-04-23,50000.0,Salary,Monthly salary,Income
2024-04-23,-343.34,Dining,Restaurant dinner,Expense
2024-04-23,-158.3,Transport,Auto rickshaw,Expense
2024-04-23,-380.31,Entertainment,Movie tickets,Expense
2024-04-23,-249.0,Transport,Auto rickshaw,Expense
2024-04-24,-236.99,Transport,Auto rickshaw,Expense
2024-04-25,-256.53,Transport,Metro ticket,Expense
2024-04-25,-171.82,Dining,Coffee shop,Expense
2024-04-25,-167.43,Transport,Fuel,Expense
2024-04-26,-177.3,Transport,Bus pass,Expense
2024-04-26,-170.32,Transport,Bus pass,Expense
2024-04-27,-289.94,Dining,Coffee shop,Expense
2024-04-27,4539.36,Freelance,Project payment,Income
2024-04-28,-404.62,Dining,Restaurant dinner,Expense
2024-04-30,-311.13,Dining,Food delivery,Expense
2024-04-30,-821.78,Healthcare,Dental checkup,Expense
2024-05-03,-585.44,Healthcare,Dental checkup,Expense
2024-05-03,-417.59,Groceries,Fresh vegetables,Expense
2024-05-03,-187.43,Transport,Bus pass,Expense
2024-05-04,-308.46,Entertainment,Gaming,Expense
2024-05-04,-194.83,Dining,Coffee shop,Expense
2024-05-05,-291.43,Dining,Coffee shop,Expense
2024-05-05,-227.85,Transport,Metro ticket,Expense
2024-05-05,-15000.0,Rent,Monthly rent payment,Expense
2024-05-05,-199.17,Transport,Auto rickshaw,Expense
2024-05-05,4297.95,Freelance,Consulting work,Income
2024-05-05,-346.9,Groceries,Weekly shopping,Expense
2024-05-07,-517.69,Groceries,Organic store,Expense
2024-05-08,-348.67,Entertainment,Movie tickets,Expense
2024-05-08,-452.98,Entertainment,Movie tickets,Expense
2024-05-08,-344.29,Groceries,Supermarket,Expense
2024-05-12,-140.98,Transport,Metro ticket,Expense
2024-05-13,-626.3,Groceries,Weekly shopping,Expense
2024-05-13,-388.83,Groceries,Organic store,Expense
2024-05-13,-182.88,Transport,Auto rickshaw,Expense
2024-05-14,-529.58,Dining,Lunch out,Expense
2024-05-15,-254.25,Dining,Restaurant dinner,Expense
2024-05-16,-900.35,Shopping,Clothing,Expense
2024-05-16,-454.7,Healthcare,Doctor visit,Expense
2024-05-17,-343.92,Dining,Lunch out,Expense
2024-05-17,-312.66,Dining,Restaurant dinner,Expense
2024-05-17,-165.53,Transport,Fuel,Expense
2024-05-18,-205.8,Transport,Bus pass,Expense
2024-05-18,-213.57,Transport,Fuel,Expense
2024-05-18,-903.65,Shopping,Clothing,Expense
2024-05-20,-139.86,Transport,Auto rickshaw,Expense
2024-05-20,-125.75,Transport,Bus pass,Expense
2024-05-20,-961.7,Shopping,Books,Expense
2024-05-22,-165.54,Transport,Bus pass,Expense
2024-05-22,-196.96,Dining,Coffee shop,Expense
2024-05-24,-192.37,Transport,Auto rickshaw,Expense
2024-05-24,-203.44,Utilities,Internet bill,Expense
2024-05-25,-201.77,Dining,Lunch out,Expense
2024-05-25,50000.0,Salary,Monthly salary,Income
2024-05-25,-322.87,Dining,Coffee shop,Expense
2024-05-26,-147.5,Transport,Auto rickshaw,Expense
2024-05-26,-415.64,Groceries,Weekly shopping,Expense
2024-05-27,-337.57,Dining,Lunch out,Expense
2024-05-28,-479.01,Dining,Coffee shop,Expense
2024-05-28,-224.25,Transport,Bus pass,Expense
2024-05-29,-166.75,Transport,Auto rickshaw,Expense
2024-05-29,-367.12,Entertainment,Gaming,Expense
2024-05-30,-488.51,Groceries,Weekly shopping,Expense
2024-05-31,4672.34,Freelance,Project payment,Income
2024-05-31,-313.04,Dining,Coffee shop,Expense
2024-06-01,-648.31,Healthcare,Medicines,Expense
2024-06-01,-212.09,Transport,Bus pass,Expense
2024-06-02,-1110.13,Shopping,Clothing,Expense
2024-06-02,-256.72,Dining,Food delivery,Expense
2024-06-03,-169.7,Transport,Metro ticket,Expense
2024-06-03,-786.29,Shopping,Electronics,Expense
2024-06-04,-473.46,Groceries,Fresh vegetables,Expense
2024-06-04,-167.94,Transport,Auto rickshaw,Expense
2024-06-05,-144.76,Dining,Food delivery,Expense
2024-06-05,5227.46,Freelance,Project payment,Income
2024-06-06,-1012.46,Shopping,Household items,Expense
2024-06-06,-399.24,Dining,Coffee shop,Expense
2024-06-06,-478.33,Entertainment,Streaming,Expense
2024-06-07,-273.05,Dining,Food delivery,Expense
2024-06-07,-596.35,Groceries,Fresh vegetables,Expense
2024-06-07,-491.94,Entertainment,Streaming,Expense
2024-06-07,-187.69,Transport,Bus pass,Expense
2024-06-07,-256.75,Transport,Metro ticket,Expense
2024-06-08,-432.15,Dining,Lunch out,Expense
2024-06-08,-591.54,Groceries,Supermarket,Expense
2024-06-08,-163.84,Transport,Bus pass,Expense
2024-06-08,-177.59,Transport,Auto rickshaw,Expense
2024-06-09,-489.21,Groceries,Organic store,Expense
2024-06-09,-182.98,Transport,Auto rickshaw,Expense
2024-06-09,-477.97,Healthcare,Medicines,Expense
2024-06-10,50000.0,Salary,Monthly salary,Income
2024-06-11,-492.06,Groceries,Supermarket,Expense
2024-06-12,-181.39,Transport,Auto rickshaw,Expense
2024-06-13,-423.89,Groceries,Weekly shopping,Expense
2024-06-14,-226.75,Transport,Auto rickshaw,Expense
2024-06-15,-449.49,Groceries,Organic store,Expense
2024-06-15,-360.28,Dining,Restaurant dinner,Expense
2024-06-15,-365.3,Dining,Lunch out,Expense
2024-06-16,-352.64,Entertainment,Streaming,Expense
2024-06-19,-267.14,Utilities,Electricity bill,Expense
2024-06-19,-15000.0,Rent,Monthly rent payment,Expense
2024-06-22,-259.85,Dining,Restaurant dinner,Expense
2024-06-23,-186.45,Transport,Bus pass,Expense
2024-06-23,-420.39,Groceries,Weekly shopping,Expense
2024-06-23,3769.14,Freelance,Consulting work,Income
2024-06-24,-392.75,Dining,Coffee shop,Expense
2024-06-24,-181.06,Transport,Auto rickshaw,Expense
2024-06-26,-81.47,Transport,Auto rickshaw,Expense
2024-06-26,-207.78,Dining,Restaurant dinner,Expense
2024-06-28,-228.57,Dining,Restaurant dinner,Expense
2024-06-28,-312.03,Dining,Restaurant dinner,Expense
2024-06-28,-173.02,Transport,Fuel,Expense
2024-06-29,-104.55,Transport,Bus pass,Expense
2024-06-29,-245.01,Entertainment,Movie tickets,Expense
2024-07-01,-212.83,Transport,Auto rickshaw,Expense
2024-07-02,4927.17,Freelance,Project payment,Income
2024-07-02,-371.82,Groceries,Supermarket,Expense
2024-07-02,-397.81,Groceries,Supermarket,Expense
2024-07-03,50000.0,Salary,Monthly salary,Income
2024-07-03,-286.98,Dining,Lunch out,Expense
2024-07-03,-235.15,Utilities,Internet bill,Expense
2024-07-03,-169.98,Transport,Metro ticket,Expense
2024-07-05,-168.26,Dining,Coffee shop,Expense
2024-07-06,-385.26,Dining,Food delivery,Expense
2024-07-07,-161.05,Transport,Fuel,Expense
2024-07-07,-351.75,Entertainment,Gaming,Expense
2024-07-08,-227.65,Transport,Fuel,Expense
2024-07-09,-492.9,Healthcare,Doctor visit,Expense
2024-07-09,-509.29,Shopping,Clothing,Expense
2024-07-09,-337.43,Entertainment,Gaming,Expense
2024-07-10,-319.29,Groceries,Fresh vegetables,Expense
2024-07-12,-391.16,Dining,Coffee shop,Expense
2024-07-13,-166.14,Transport,Bus pass,Expense
2024-07-13,-153.74,Transport,Metro ticket,Expense
2024-07-14,-208.57,Transport,Fuel,Expense
2024-07-15,-148.52,Transport,Fuel,Expense
2024-07-17,-633.52,Healthcare,Medicines,Expense
2024-07-17,-254.24,Dining,Coffee shop,Expense
2024-07-17,-582.05,Groceries,Fresh vegetables,Expense
2024-07-19,-431.54,Groceries,Supermarket,Expense
2024-07-19,-573.7,Groceries,Organic store,Expense
2024-07-19,-170.71,Transport,Bus pass,Expense
2024-07-20,-141.46,Transport,Bus pass,Expense
2024-07-20,-168.28,Transport,Bus pass,Expense
2024-07-20,-485.72,Entertainment,Concert,Expense
2024-07-20,-292.71,Dining,Restaurant dinner,Expense
2024-07-22,-218.99,Transport,Fuel,Expense
2024-07-22,-297.86,Dining,Coffee shop,Expense
2024-07-23,-507.09,Entertainment,Gaming,Expense
2024-07-24,-255.97,Shopping,Electronics,Expense
2024-07-24,-424.01,Groceries,Weekly shopping,Expense
2024-07-27,-326.17,Dining,Coffee shop,Expense
2024-07-27,5473.24,Freelance,Consulting work,Income
2024-07-28,-15000.0,Rent,Monthly rent payment,Expense
2024-07-29,-852.93,Shopping,Clothing,Expense
2024-07-29,-380.3,Dining,Lunch out,Expense
2024-07-29,-339.63,Dining,Restaurant dinner,Expense
2024-07-30,-253.83,Dining,Restaurant dinner,Expense
2024-07-30,-105.37,Transport,Fuel,Expense
2024-07-30,-133.66,Transport,Bus pass,Expense
2024-07-31,-207.2,Transport,Metro ticket,Expense
2024-07-31,-318.96,Dining,Lunch out,Expense
2024-07-31,-610.75,Groceries,Supermarket,Expense
2024-08-01,-157.16,Transport,Metro ticket,Expense
2024-08-02,50000.0,Salary,Monthly salary,Income
2024-08-04,-473.04,Entertainment,Gaming,Expense
2024-08-04,-574.57,Groceries,Supermarket,Expense
2024-08-05,-177.67,Transport,Bus pass,Expense
2024-08-05,-173.85,Transport,Auto rickshaw,Expense
2024-08-06,-567.53,Healthcare,Dental checkup,Expense
2024-08-06,-494.65,Groceries,Organic store,Expense
2024-08-07,-136.68,Transport,Metro ticket,Expense
2024-08-08,-265.1,Dining,Restaurant dinner,Expense
2024-08-08,-358.83,Dining,Lunch out,Expense
2024-08-09,-582.21,Shopping,Clothing,Expense
2024-08-09,-345.22,Dining,Lunch out,Expense
2024-08-10,-225.72,Transport,Fuel,Expense
2024-08-11,-534.68,Groceries,Fresh vegetables,Expense
2024-08-12,-507.77,Entertainment,Streaming,Expense
2024-08-12,-134.83,Dining,Coffee shop,Expense
2024-08-12,-235.11,Transport,Auto rickshaw,Expense
2024-08-12,7143.94,Freelance,Consulting work,Income
2024-08-13,-894.39,Shopping,Books,Expense
2024-08-13,-381.83,Dining,Restaurant dinner,Expense
2024-08-18,-428.59,Groceries,Supermarket,Expense
2024-08-18,-411.47,Groceries,Supermarket,Expense
2024-08-18,-364.36,Groceries,Organic store,Expense
2024-08-19,-294.19,Utilities,Internet bill,Expense
2024-08-20,4348.4,Freelance,Consulting work,Income
2024-08-20,-217.51,Transport,Metro ticket,Expense
2024-08-21,-601.48,Groceries,Weekly shopping,Expense
2024-08-22,-471.53,Entertainment,Gaming,Expense
2024-08-22,-449.02,Dining,Lunch out,Expense
2024-08-22,-137.85,Transport,Bus pass,Expense
2024-08-24,-134.58,Transport,Fuel,Expense
2024-08-26,-259.28,Dining,Restaurant dinner,Expense
2024-08-26,-267.89,Dining,Lunch out,Expense
2024-08-26,-243.68,Dining,Food delivery,Expense
2024-08-26,-159.4,Transport,Metro ticket,Expense
2024-08-27,-313.45,Dining,Food delivery,Expense
2024-08-27,-469.38,Dining,Lunch out,Expense
2024-08-27,-15000.0,Rent,Monthly rent payment,Expense
2024-08-28,-338.95,Dining,Food delivery,Expense
2024-08-28,-159.45,Transport,Metro ticket,Expense
2024-08-29,-25.89,Transport,Auto rickshaw,Expense
2024-08-29,-165.69,Transport,Bus pass,Expense
2024-08-29,-157.57,Transport,Fuel,Expense
2024-08-30,-159.4,Transport,Metro ticket,Expense
2024-08-31,-332.04,Entertainment,Movie tickets,Expense
2024-08-31,-432.68,Groceries,Fresh vegetables,Expense
2024-08-31,-593.16,Healthcare,Medicines,Expense
2024-08-31,-787.14,Shopping,Books,Expense
2024-09-01,-364.76,Groceries,Fresh vegetables,Expense
2024-09-02,50000.0,Salary,Monthly salary,Income
2024-09-02,-434.41,Dining,Lunch out,Expense
2024-09-03,-401.95,Dining,Lunch out,Expense
2024-09-03,-461.47,Groceries,Weekly shopping,Expense
2024-09-05,-189.41,Dining,Restaurant dinner,Expense
2024-09-07,-163.8,Transport,Auto rickshaw,Expense
2024-09-07,-199.37,Transport,Auto rickshaw,Expense
2024-09-08,-460.02,Entertainment,Concert,Expense
2024-09-08,-419.82,Dining,Lunch out,Expense
2024-09-08,-797.95,Shopping,Electronics,Expense
2024-09-09,-431.35,Groceries,Supermarket,Expense
2024-09-10,-240.77,Transport,Fuel,Expense
2024-09-10,-579.3,Dining,Coffee shop,Expense
2024-09-11,-199.0,Transport,Auto rickshaw,Expense
2024-09-12,-529.25,Groceries,Organic store,Expense
2024-09-13,-652.51,Groceries,Fresh vegetables,Expense
2024-09-13,-138.7,Transport,Bus pass,Expense
2024-09-14,-386.61,Groceries,Supermarket,Expense
2024-09-15,-309.54,Dining,Food delivery,Expense
2024-09-15,-162.25,Transport,Metro ticket,Expense
2024-09-15,-208.31,Transport,Auto rickshaw,Expense
2024-09-15,5662.13,Freelance,Project payment,Income
2024-09-16,-567.37,Shopping,Household items,Expense
2024-09-16,-355.2,Dining,Restaurant dinner,Expense
2024-09-17,-228.01,Transport,Fuel,Expense
2024-09-17,-657.8,Healthcare,Medicines,Expense
2024-09-17,-258.03,Dining,Food delivery,Expense
2024-09-18,-109.38,Transport,Metro ticket,Expense
2024-09-20,-399.5,Groceries,Weekly shopping,Expense
2024-09-20,-95.11,Transport,Fuel,Expense
2024-09-21,-498.15,Entertainment,Movie tickets,Expense
2024-09-22,-15000.0,Rent,Monthly rent payment,Expense
2024-09-22,-193.38,Transport,Auto rickshaw,Expense
2024-09-22,-143.29,Transport,Metro ticket,Expense
2024-09-22,-230.44,Transport,Auto rickshaw,Expense
2024-09-22,-340.21,Dining,Coffee shop,Expense
2024-09-22,-324.76,Dining,Restaurant dinner,Expense
2024-09-23,-516.18,Groceries,Organic store,Expense
2024-09-23,-206.13,Transport,Fuel,Expense
2024-09-23,-1087.17,Shopping,Household items,Expense
2024-09-24,-206.71,Utilities,Water bill,Expense
2024-09-25,-380.09,Entertainment,Streaming,Expense
2024-09-26,-129.32,Transport,Fuel,Expense
2024-09-26,-589.53,Healthcare,Dental checkup,Expense
2024-09-26,-394.15,Dining,Lunch out,Expense
2024-09-29,-204.7,Dining,Lunch out,Expense
2024-09-29,-353.79,Entertainment,Movie tickets,Expense
2024-09-30,5113.52,Freelance,Project payment,Income
